transaction_id,date,item_id,item_name,category,quantity_sold,selling_price,cost_price,discount_applied,payment_mode,customer_type,stock_after_sale,supplier_id,gst_rate,location_pin
T1001,2025-12-01,I001,Rice 25kg,Grains,8,1200,950,0,UPI,Retail,52,SUP01,5,600001
T1002,2025-12-01,I002,Sunflower Oil 1L,Oil,12,140,110,0,Cash,Retail,38,SUP02,5,600001
T1003,2025-12-02,I003,Sugar 1kg,Grains,25,45,38,0,UPI,Wholesale,35,SUP01,5,600001
T1004,2025-12-02,I004,Tata Salt 1kg,Essentials,15,28,22,0,Cash,Retail,60,SUP01,0,600001
T1005,2025-12-03,I005,Amul Butter 100g,Dairy,8,56,45,2,UPI,Retail,22,SUP03,12,600001
T1006,2025-12-04,I006,Maggi Noodles 70g,Processed Food,30,14,11,0,Cash,Retail,120,SUP04,18,600001
T1007,2025-12-05,I007,Surf Excel Bar 250g,Cleaning,10,32,25,0,UPI,Retail,45,SUP05,18,600001
T1008,2025-12-06,I009,Cadbury Dairy Milk Silk,Sweets,15,85,65,5,Cash,Retail,35,SUP06,18,600001
T1009,2025-12-07,I010,Coca Cola 750ml,Beverages,20,40,30,0,UPI,Retail,60,SUP07,28,600001
T1010,2025-12-08,I008,Colgate Strong Teeth 100g,Personal Care,6,54,42,0,Cash,Retail,18,SUP05,18,600001
T1011,2025-12-10,I001,Rice 25kg,Grains,10,1200,950,0,UPI,Wholesale,42,SUP01,5,600001
T1012,2025-12-10,I002,Sunflower Oil 1L,Oil,18,140,110,5,Cash,Retail,20,SUP02,5,600001
T1013,2025-12-12,I003,Sugar 1kg,Grains,30,45,38,0,UPI,Retail,5,SUP01,5,600001
T1014,2025-12-13,I006,Maggi Noodles 70g,Processed Food,40,14,11,0,Cash,Retail,80,SUP04,18,600001
T1015,2025-12-14,I009,Cadbury Dairy Milk Silk,Sweets,20,85,65,0,Cash,Retail,15,SUP06,18,600001
T1016,2025-12-15,I010,Coca Cola 750ml,Beverages,25,40,30,0,UPI,Retail,35,SUP07,28,600001
T1017,2025-12-18,I004,Tata Salt 1kg,Essentials,20,28,22,0,Cash,Wholesale,40,SUP01,0,600001
T1018,2025-12-20,I001,Rice 25kg,Grains,12,1200,950,0,UPI,Retail,30,SUP01,5,600001
T1019,2025-12-20,I005,Amul Butter 100g,Dairy,5,56,45,0,UPI,Retail,17,SUP03,12,600001
T1020,2025-12-22,I002,Sunflower Oil 1L,Oil,15,140,110,0,Cash,Retail,5,SUP02,5,600001
T1021,2025-12-25,I009,Cadbury Dairy Milk Silk,Sweets,35,85,65,10,UPI,Retail,0,SUP06,18,600001
T1022,2025-12-25,I010,Coca Cola 750ml,Beverages,30,40,30,5,Cash,Retail,5,SUP07,28,600001
T1023,2025-12-28,I007,Surf Excel Bar 250g,Cleaning,12,32,25,0,UPI,Retail,33,SUP05,18,600001
T1024,2025-12-30,I006,Maggi Noodles 70g,Processed Food,25,14,11,0,Cash,Retail,55,SUP04,18,600001
T1025,2026-01-02,I001,Rice 25kg,Grains,15,1200,950,0,UPI,Retail,15,SUP01,5,600001
T1026,2026-01-02,I003,Sugar 1kg,Grains,35,45,38,0,Cash,Wholesale,25,SUP01,5,600001
T1027,2026-01-05,I002,Sunflower Oil 1L,Oil,20,140,110,0,UPI,Retail,40,SUP02,5,600001
T1028,2026-01-05,I004,Tata Salt 1kg,Essentials,18,28,22,0,Cash,Retail,42,SUP01,0,600001
T1029,2026-01-08,I005,Amul Butter 100g,Dairy,10,56,45,0,UPI,Retail,12,SUP03,12,600001
T1030,2026-01-10,I009,Cadbury Dairy Milk Silk,Sweets,18,85,65,0,Cash,Retail,32,SUP06,18,600001
T1031,2026-01-12,I006,Maggi Noodles 70g,Processed Food,35,14,11,0,UPI,Retail,85,SUP04,18,600001
T1032,2026-01-12,I010,Coca Cola 750ml,Beverages,15,40,30,0,Cash,Retail,50,SUP07,28,600001
T1033,2026-01-14,I001,Rice 25kg,Grains,18,1200,950,50,UPI,Wholesale,32,SUP01,5,600001
T1034,2026-01-14,I002,Sunflower Oil 1L,Oil,22,140,110,0,Cash,Retail,18,SUP02,5,600001
T1035,2026-01-14,I009,Cadbury Dairy Milk Silk,Sweets,25,85,65,0,UPI,Retail,7,SUP06,18,600001
T1036,2026-01-16,I008,Colgate Strong Teeth 100g,Personal Care,8,54,42,0,Cash,Retail,10,SUP05,18,600001
T1037,2026-01-18,I007,Surf Excel Bar 250g,Cleaning,15,32,25,0,UPI,Retail,18,SUP05,18,600001
T1038,2026-01-20,I003,Sugar 1kg,Grains,20,45,38,0,Cash,Retail,5,SUP01,5,600001
T1039,2026-01-22,I011,Dettol Antiseptic Liquid 100ml,Personal Care,6,48,35,0,UPI,Retail,14,SUP05,12,600001
T1040,2026-01-25,I012,Fortune Mustard Oil 1L,Oil,10,190,155,0,Cash,Retail,20,SUP02,5,600001
T1041,2026-01-28,I010,Coca Cola 750ml,Beverages,22,40,30,0,UPI,Retail,28,SUP07,28,600001
T1042,2026-02-01,I001,Rice 25kg,Grains,10,1200,950,0,UPI,Retail,22,SUP01,5,600001
T1043,2026-02-01,I002,Sunflower Oil 1L,Oil,14,140,110,0,Cash,Retail,26,SUP02,5,600001
T1044,2026-02-03,I003,Sugar 1kg,Grains,28,45,38,0,UPI,Wholesale,12,SUP01,5,600001
T1045,2026-02-04,I006,Maggi Noodles 70g,Processed Food,30,14,11,0,Cash,Retail,55,SUP04,18,600001
T1046,2026-02-05,I004,Tata Salt 1kg,Essentials,22,28,22,0,UPI,Retail,38,SUP01,0,600001
T1047,2026-02-06,I005,Amul Butter 100g,Dairy,7,56,45,0,Cash,Retail,5,SUP03,12,600001
T1048,2026-02-08,I009,Cadbury Dairy Milk Silk,Sweets,12,85,65,0,UPI,Retail,20,SUP06,18,600001
T1049,2026-02-10,I010,Coca Cola 750ml,Beverages,18,40,30,0,Cash,Retail,22,SUP07,28,600001
T1050,2026-02-10,I007,Surf Excel Bar 250g,Cleaning,8,32,25,0,UPI,Retail,25,SUP05,18,600001
T1051,2026-02-12,I001,Rice 25kg,Grains,14,1200,950,0,Cash,Retail,8,SUP01,5,600001
T1052,2026-02-12,I002,Sunflower Oil 1L,Oil,16,140,110,0,UPI,Retail,10,SUP02,5,600001
T1053,2026-02-13,I008,Colgate Strong Teeth 100g,Personal Care,5,54,42,0,Cash,Retail,5,SUP05,18,600001
T1054,2026-02-13,I006,Maggi Noodles 70g,Processed Food,20,14,11,0,UPI,Retail,35,SUP04,18,600001
T1055,2026-02-14,I009,Cadbury Dairy Milk Silk,Sweets,30,85,65,8,Cash,Retail,0,SUP06,18,600001
T1056,2026-02-14,I005,Amul Butter 100g,Dairy,4,56,45,0,UPI,Retail,1,SUP03,12,600001
T1057,2026-02-14,I012,Fortune Mustard Oil 1L,Oil,8,190,155,0,Cash,Retail,12,SUP02,5,600001
T1058,2026-02-15,I011,Dettol Antiseptic Liquid 100ml,Personal Care,4,48,35,0,UPI,Retail,10,SUP05,12,600001
T1059,2026-02-15,I004,Tata Salt 1kg,Essentials,10,28,22,0,Cash,Retail,28,SUP01,0,600001
T1060,2026-02-15,I003,Sugar 1kg,Grains,15,45,38,0,UPI,Retail,3,SUP01,5,600001
